VNDNBR,VndCode,VNDNAME,VNDTYPE,INV_YEAR, INVPAYAMT , INV_AMOUNT ,DPTNBR,DIV,DEPT,DEPT_CODE
M6103036,6103036,ปาลิดา อินเตอร์ ฟู๊ด บจก. (SME),BAS CONSOL,2023,"  17,429,477.51 ","  16,195,104.01 ",21730,05,30,0530
M6300088,6300088,รินทร์โชคชัย  บจก.,FOOD-MERCHANDISE,2023,"  11,350,514.94 ","  10,607,957.98 ",21660,04,60,0460
M6300163,6300163,เจที อินเตอร์เนชั่นแนล(ไทยแลนด์) บจก. (LP),FOOD-MERCHANDISE,2023,"  154,886,221.66 ","  144,014,960.00 ",21690,04,90,0490
M6300232,6300232,เมกก้าคลีน โปรดักส์ บจก. (LP),FOOD-MERCHANDISE,2023,"  6,489,780.30 ",  0.01 ,21630,04,30,0430
M6300273,6300273,ลำปางฟู้ดมาร์เก็ตติ้ง บจก. (LP),FOOD-MERCHANDISE,2023,"  5,140,024.49 ","  4,803,761.18 ",21610,04,10,0410
M6800102,6800102,ไบโอฟาร์ม เคมิคัลส์ บจก. (Siri Pharma),FOOD-MERCHANDISE,2023,"  24,344.69 ","  22,752.04 ",21840,06,20,0620
M6810001,6810001,ไรคม (ไทยแลนด์) บจก. (Siri Pharma),BAS CONSOL,2023,"  1,409.20 ","  1,317.01 ",21840,06,20,0620
M6900022,6900022,เวียงเจ็ดริน บจก. (BCMM),FOOD-MERCHANDISE,2023,"  113,592.75 ","  106,161.44 ",21790,05,70,0570
M6900026,6900026,ซีเคเอ็มเอส ไอศกรีม บจก. (BCMM),FOOD-MERCHANDISE,2023,"  125,927.90 ","  117,689.62 ",21790,05,70,0570
M6900056,6900056,ชาณิดา โชติพัฒนถาวร (BCMM),FOOD-MERCHANDISE,2023,"  54,120.00 ","  54,120.00 ",21790,05,70,0570
M6900061,6900061,สกลชลทิต 2018 หจก. (BCMM),FOOD-MERCHANDISE,2023,"  46,224.00 ","  43,200.00 ",21790,05,70,0570
M6003098,6003098,ยืนยงเอ็นเตอร์ไพรส์ บจก.,FOOD-MERCHANDISE,2023,"  11,757,943.24 ","  20,566,645.00 ",21740,05,40,0540
M6003113,6003113,ไทย เฮิร์บ เอนเตอร์ไพรซ์ บจก.,FOOD-MERCHANDISE,2023,"  10,654,048.82 ","  9,957,054.99 ",21660,04,60,0460
M6003139,6003139,เพียวสแควร์ บจก. (FF),FOOD-MERCHANDISE,2023,"  9,846,906.40 ","  (24,552.58)",21730,05,30,0530
